Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"SANZ, Yolanda",X. Interests of close family members,,,NO INTEREST,,,2015-09-28,NDA_doi_012.pdf
"SIANI, Alfonso",X. Interests of close family members,,,NO INTEREST,,,2015-11-03,NDA_doi_013.pdf
"STERN, Martin",X. Interests of close family members,,,NO INTEREST,,,2015-11-23,NDA_doi_015.pdf
"TOMÉ, Daniel",X. Interests of close family members,,,NO INTEREST,,,2015-09-21,NDA_doi_016.pdf
"TURCK, Dominique",X. Interests of close family members,,,NO INTEREST,,,2015-10-22,NDA_doi_017.pdf
"VAN LOVEREN, Henk",X. Interests of close family members,,,NO INTEREST,,,2015-11-23,NDA_doi_018.pdf
"VINCETI, MARCO",X. Interests of close family members,,,NO INTEREST,,,2015-09-22,NDA_doi_019.pdf
"WILLATTS, Peter",X. Interests of close family members,,,NO INTEREST,,,2015-09-21,NDA_doi_020.pdf
"BRAGARD, Claude",X. Interests of close family members,,,NO INTEREST,,,2015-10-06,PLH_doi_000.pdf
"CAFFIER, David",X. Interests of close family members,,,NO INTEREST,,,2015-10-01,PLH_doi_001.pdf
"CANDRESSE, Thierry",X. Interests of close family members,,,NO INTEREST,,,2015-07-24,PLH_doi_002.pdf
"CHATZIVASSILIOU, Elisavet",X. Interests of close family members,,,NO INTEREST,,,2015-09-15,PLH_doi_003.pdf
"DEHNEN-SCHMUTZ, Katharina",X. Interests of close family members,,,NO INTEREST,,,2015-07-17,PLH_doi_004.pdf
"GILIOLI, Gianni",X. Interests of close family members,,,NO INTEREST,,,2015-11-10,PLH_doi_005.pdf
"GREGOIRE, Jean Claude",X. Interests of close family members,,,NO INTEREST,,,2015-07-09,PLH_doi_006.pdf
"JAQUES MIRET, Josep Anton",X. Interests of close family members,,,NO INTEREST,,,2015-11-22,PLH_doi_007.pdf
"JEGER, Michael John",X. Interests of close family members,,,NO INTEREST,,,2015-11-04,PLH_doi_008.pdf
"MACLEOD, Alan",X. Interests of close family members,,,NO INTEREST,,,2015-08-18,PLH_doi_009.pdf
"NAVAJAS, Maria",X. Interests of close family members,,,NO INTEREST,,,2015-11-20,PLH_doi_010.pdf
"NIERE, Bjoern",X. Interests of close family members,,,NO INTEREST,,,2015-08-17,PLH_doi_011.pdf
"PARNELL, Stephen",X. Interests of close family members,,,NO INTEREST,,,2015-11-16,PLH_doi_012.pdf
"POTTING, Roel",X. Interests of close family members,,,NO INTEREST,,,2015-07-15,PLH_doi_013.pdf
"RAFOSS, Trond",X. Interests of close family members,,,NO INTEREST,,,2015-11-04,PLH_doi_014.pdf
"ROSSI, Vittorio",X. Interests of close family members,,,NO INTEREST,,,2015-11-11,PLH_doi_015.pdf
"UREK, Gregor",X. Interests of close family members,,,NO INTEREST,,,2015-07-10,PLH_doi_016.pdf
"VAN BRUGGEN, Ariena",X. Interests of close family members,,,NO INTEREST,,,2015-11-16,PLH_doi_017.pdf
"VAN DER WERF, Wopke",X. Interests of close family members,,,NO INTEREST,,,2015-11-23,PLH_doi_018.pdf
"WEST, Jon",X. Interests of close family members,,,NO INTEREST,,,2015-11-16,PLH_doi_019.pdf
"WINTER, Stephan",X. Interests of close family members,,,NO INTEREST,,,2015-09-30,PLH_doi_020.pdf
"ADRIAANSE, Paulien",X. Interests of close family members,,,NO INTEREST,,,2015-04-28,PPR_doi_000.pdf
"BERNY, Philippe",X. Interests of close family members,,,NO INTEREST,,,2015-09-21,PPR_doi_001.pdf
